Register,Name,Description,DataType,Scale,ScaleCode,Unit,ElementCount,Source,Notes
37008,min_cell_voltage,Min cell voltage (all packs),u16,÷1000,0,V,1,FW-verified,"Scale 0.001"
37009,unknown_37009,,u16,×1,0,-,1,scan,"Raw=0"
37010,unknown_37010,,u16,×1,0,-,1,scan,"Raw=0"
37011,unknown_37011,,u16,×1,0,-,1,scan,"Raw=0"
37012,unknown_37012,,u16,×1,0,-,1,scan,"Raw=116"
37013,unknown_37013,,u16,×1,0,-,1,scan,"Raw=0"
37014,unknown_37014,,u16,×1,0,-,1,scan,"Raw=0"
37015,unknown_37015,,u16,×1,0,-,1,scan,"Raw=0"
37016,unknown_37016,,u16,×1,0,-,1,scan,"Raw=2416"
37017,unknown_37017,,u16,×1,0,-,1,scan,"Raw=0"
37018,unknown_37018,,u16,×1,0,-,1,scan,"Raw=0"
37019,unknown_37019,,u16,×1,0,-,1,scan,"Raw=0"
37020,unknown_37020,,u16,×1,0,-,1,scan,"Raw=0"
37021,unknown_37021,,u16,×1,0,-,1,scan,"Raw=0"
37022,unknown_37022,,u16,×1,0,-,1,scan,"Raw=513 (0x0201)"
37023,unknown_37023,,u16,×1,0,-,1,scan,"Raw=0"
37024,unknown_37024,,u16,×1,0,-,1,scan,"Raw=0"
