Register,Key,Description,Type,Scale,Unit,scan1_newFW_idle_14pct,scan2_oldFW_standby_95pct,scan3_oldFW_discharge_500W,scan4_charge,Confidence,Notes
34422,pack5_cell_5_voltage,Pack 5 Cell 5 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34423,pack5_cell_6_voltage,Pack 5 Cell 6 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34424,pack5_cell_7_voltage,Pack 5 Cell 7 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34425,pack5_cell_8_voltage,Pack 5 Cell 8 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34426,pack5_cell_9_voltage,Pack 5 Cell 9 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34427,pack5_cell_10_voltage,Pack 5 Cell 10 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34428,pack5_cell_11_voltage,Pack 5 Cell 11 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34429,pack5_cell_12_voltage,Pack 5 Cell 12 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34430,pack5_cell_13_voltage,Pack 5 Cell 13 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34431,pack5_cell_14_voltage,Pack 5 Cell 14 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34432,pack5_cell_15_voltage,Pack 5 Cell 15 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34433,pack5_cell_16_voltage,Pack 5 Cell 16 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34500,pack6_bat_volt,Pack 6 Battery voltage,uint16,0.01,V,0,0,0,0,⬆ pack-pattern,
34501,pack6_bat_curr,Pack 6 Battery current,int16,0.1,A,0,0,0,0,⬆ pack-pattern,
34502,pack6_bat_soc,Pack 6 SOC,uint16,0.1,%,0,0,0,0,⬆ pack-pattern,
34503,pack6_cycle_count,Pack 6 Cycle count,uint16,1,-,0,0,0,0,⬆ pack-pattern,
34504,pack6_max_cell_v,Pack 6 Max cell voltage delta?,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34505,pack6_cell_v_max,Pack 6 Max cell voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34506,pack6_cell_v_min,Pack 6 Min cell voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34507,pack6_max_ntc,Pack 6 Max NTC temp,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34508,pack6_protect1,Pack 6 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34509,pack6_protect2,Pack 6 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34510,pack6_bms_version,Pack 6 BMS version,uint16,1,-,0,0,0,0,⬆ pack-pattern,
34511,pack6_cell_ntc_0,Pack 6 Cell NTC 0,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34512,pack6_cell_ntc_1,Pack 6 Cell NTC 1,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34513,pack6_cell_ntc_2,Pack 6 Cell NTC 2,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34514,pack6_cell_ntc_3,Pack 6 Cell NTC 3,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34515,pack6_mos_ntc,Pack 6 MOS NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34516,pack6_env_ntc,Pack 6 Environment NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34517,pack6_avg_ntc,Pack 6 Average NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34518,pack6_cell_1_voltage,Pack 6 Cell 1 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34519,pack6_cell_2_voltage,Pack 6 Cell 2 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34520,pack6_cell_3_voltage,Pack 6 Cell 3 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34521,pack6_cell_4_voltage,Pack 6 Cell 4 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34522,pack6_cell_5_voltage,Pack 6 Cell 5 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34523,pack6_cell_6_voltage,Pack 6 Cell 6 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34524,pack6_cell_7_voltage,Pack 6 Cell 7 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34525,pack6_cell_8_voltage,Pack 6 Cell 8 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34526,pack6_cell_9_voltage,Pack 6 Cell 9 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34527,pack6_cell_10_voltage,Pack 6 Cell 10 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34528,pack6_cell_11_voltage,Pack 6 Cell 11 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34529,pack6_cell_12_voltage,Pack 6 Cell 12 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34530,pack6_cell_13_voltage,Pack 6 Cell 13 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34531,pack6_cell_14_voltage,Pack 6 Cell 14 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34532,pack6_cell_15_voltage,Pack 6 Cell 15 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34533,pack6_cell_16_voltage,Pack 6 Cell 16 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34600,pack7_bat_volt,Pack 7 Battery voltage,uint16,0.01,V,0,0,0,0,⬆ pack-pattern,
34601,pack7_bat_curr,Pack 7 Battery current,int16,0.1,A,0,0,0,0,⬆ pack-pattern,
34602,pack7_bat_soc,Pack 7 SOC,uint16,0.1,%,0,0,0,0,⬆ pack-pattern,
34603,pack7_cycle_count,Pack 7 Cycle count,uint16,1,-,0,0,0,0,⬆ pack-pattern,
34604,pack7_max_cell_v,Pack 7 Max cell voltage delta?,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34605,pack7_cell_v_max,Pack 7 Max cell voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34606,pack7_cell_v_min,Pack 7 Min cell voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34607,pack7_max_ntc,Pack 7 Max NTC temp,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34608,pack7_protect1,Pack 7 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34609,pack7_protect2,Pack 7 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34610,pack7_bms_version,Pack 7 BMS version,uint16,1,-,0,0,0,0,⬆ pack-pattern,
34611,pack7_cell_ntc_0,Pack 7 Cell NTC 0,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34612,pack7_cell_ntc_1,Pack 7 Cell NTC 1,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34613,pack7_cell_ntc_2,Pack 7 Cell NTC 2,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34614,pack7_cell_ntc_3,Pack 7 Cell NTC 3,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34615,pack7_mos_ntc,Pack 7 MOS NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34616,pack7_env_ntc,Pack 7 Environment NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34617,pack7_avg_ntc,Pack 7 Average NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34618,pack7_cell_1_voltage,Pack 7 Cell 1 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34619,pack7_cell_2_voltage,Pack 7 Cell 2 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34620,pack7_cell_3_voltage,Pack 7 Cell 3 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34621,pack7_cell_4_voltage,Pack 7 Cell 4 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34622,pack7_cell_5_voltage,Pack 7 Cell 5 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34623,pack7_cell_6_voltage,Pack 7 Cell 6 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34624,pack7_cell_7_voltage,Pack 7 Cell 7 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34625,pack7_cell_8_voltage,Pack 7 Cell 8 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34626,pack7_cell_9_voltage,Pack 7 Cell 9 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34627,pack7_cell_10_voltage,Pack 7 Cell 10 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34628,pack7_cell_11_voltage,Pack 7 Cell 11 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34629,pack7_cell_12_voltage,Pack 7 Cell 12 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34630,pack7_cell_13_voltage,Pack 7 Cell 13 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34631,pack7_cell_14_voltage,Pack 7 Cell 14 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34632,pack7_cell_15_voltage,Pack 7 Cell 15 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34633,pack7_cell_16_voltage,Pack 7 Cell 16 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
35000,internal_temperature,Internal device temperature,int16,0.1,°C,179,241,272,326,✅ FW-verified,
35001,internal_mos1_temperature,MOS1 temperature,int16,0.1,°C,180,243,279,335,✅ FW-verified,
35002,internal_mos2_temperature,MOS2 temperature,int16,0.1,°C,180,243,279,335,✅ FW-verified,
35010,max_cell_temperature,Max cell temperature,int16,0.1,°C,198,229,232,276,✅ FW-verified,
35011,,,,,,190,228,230,266,❓ unknown,
35100,inverter_state,Inverter state,uint16,1,-,1,1,3,2,✅ confirmed,"1=Idle/Standby, 2=Charging, 3=Discharging"
35110,,,,,,576,576,576,576,❓ unknown,Constant 576
35111,,,,,,500,100,500,500,❓ unknown,"100 standby, 500 discharge; power setpoint?"
35112,,,,,,500,500,500,500,❓ unknown,Constant 500
36000,alarm_status,Alarm status (high),uint32,-,-,0,0,0,0,✅ FW-verified,uint32 with 36001
36001,alarm_status_lo,Alarm status (low),uint32,-,-,0,0,0,0,✅ FW-verified,
36100,fault_status,Fault status (high),uint64,-,-,0,0,0,0,✅ FW-verified,uint64 36100-36103
36101,,,,,,0,0,0,0,❓ unknown,
36102,,,,,,0,0,0,0,❓ unknown,
36103,fault_status_lo,Fault status (low word),uint64,-,-,2403,2385,2405,0,✅ FW-verified,Changes: 2403/2385/2405; might include counter
37000,,,,,,1,1,1,1,❓ unknown,Constant 1
37001,,,,,,0,0,0,0,❓ unknown,
37002,,,,,,0,0,0,0,❓ unknown,
37003,,,,,,0,0,0,0,❓ unknown,
37004,ac_power_mirror,AC power (mirror of 30006),int16,1,W,0,0,500,63364,✅ confirmed,"Identical to 30006; int16: neg=charge(grid draw), pos=discharge(grid feed)"
37005,system_soc_integer,System SOC (integer),uint16,1,%,14,95,94,50,✅ confirmed,95/94/14; integer SOC without 0.1 scale
37006,max_cell_temp_mirror,Max cell temp (mirror of 35010),uint16,0.1,°C,192,230,232,276,📊 multi-scan,Matches 35010 within 2
37007,max_cell_voltage,Max cell voltage,uint16,0.001,V,3198,3328,3327,3308,✅ FW-verified,
37008,min_cell_voltage,Min cell voltage,uint16,0.001,V,3195,3325,3325,3306,✅ FW-verified,
37009,,,,,,0,0,0,0,❓ unknown,
37010,,,,,,0,0,0,0,❓ unknown,
37011,,,,,,0,0,0,0,❓ unknown,
37012,,,,,,116,116,116,116,❓ unknown,Constant 116 = BMS version
37013,,,,,,0,0,0,0,❓ unknown,
37014,,,,,,0,0,0,0,❓ unknown,
37015,,,,,,0,0,0,0,❓ unknown,
37016,,,,,,2416,2393,2401,0,❓ unknown,2416/2393/2401/0; AC voltage mirror? 0 during charge
37017,,,,,,0,0,0,0,❓ unknown,
37018,,,,,,0,0,0,0,❓ unknown,
37019,,,,,,0,0,0,0,❓ unknown,
37020,,,,,,0,0,0,0,❓ unknown,
37021,,,,,,0,0,0,0,❓ unknown,
37022,,,,,,513,534,527,0,❓ unknown,513/534/527/0; dc_bus_voltage mirror? 0 during charge
37023,,,,,,0,0,0,0,❓ unknown,
37024,,,,,,0,0,0,0,❓ unknown,
41000,reset_device,Reset device command,uint16,-,-,0,0,0,0,📊 scan,Write to trigger reset
41100,modbus_address,Modbus slave/unit ID,uint16,-,-,1,1,1,1,📊 scan,
41200,backup_function,Backup function control,uint16,-,-,1,1,1,1,📊 scan,1=enabled
42000,rs485_control_mode,RS485 control mode,uint16,-,-,21930,21947,21930,21930,✅ confirmed,"0x55AA=active write control, 0x55BB=idle readback after activation"
42010,force_mode,Force mode,uint16,-,-,0,0,2,1,📊 scan,"0=None, 1=Charge, 2=Discharge (confirmed with all scans)"
42011,charge_to_soc,Target SOC,uint16,1,%,0,0,0,0,📊 scan,
42020,set_charge_power,Force charge power,uint16,-,W,0,0,0,2200,📊 scan,2200 during 2200W charge test; charge power setpoint
42021,set_discharge_power,Force discharge power,uint16,-,W,0,0,500,0,📊 scan,500 during 500W discharge test
43000,user_work_mode,User work mode,uint16,-,-,1,0,1,1,📊 scan,"0=manual/self-consumption, 1=anti-feedin, 2=trade"
43100,schedule_1_days,Schedule 1 days (bitmask),bit,-,-,0,0,0,0,📊 scan,
43101,schedule_1_start,Schedule 1 start (HHMM),uint,-,min,0,0,0,0,📊 scan,
43102,schedule_1_end,Schedule 1 end (HHMM),uint,-,min,0,0,0,0,📊 scan,
43103,schedule_1_mode,Schedule 1 mode,int16,-,W,0,0,0,0,📊 scan,
43104,schedule_1_enabled,Schedule 1 enabled,uint,-,-,0,0,0,0,📊 scan,
43105,schedule_2_days,Schedule 2 days (bitmask),bit,-,-,0,0,0,0,📊 scan,
43106,schedule_2_start,Schedule 2 start (HHMM),uint,-,min,0,0,0,0,📊 scan,
43107,schedule_2_end,Schedule 2 end (HHMM),uint,-,min,0,0,0,0,📊 scan,
43108,schedule_2_mode,Schedule 2 mode,int16,-,W,0,0,0,0,📊 scan,
43109,schedule_2_enabled,Schedule 2 enabled,uint,-,-,0,0,0,0,📊 scan,
43110,schedule_3_days,Schedule 3 days (bitmask),bit,-,-,0,0,0,0,📊 scan,
43111,schedule_3_start,Schedule 3 start (HHMM),uint,-,min,0,0,0,0,📊 scan,
43112,schedule_3_end,Schedule 3 end (HHMM),uint,-,min,0,0,0,0,📊 scan,
43113,schedule_3_mode,Schedule 3 mode,int16,-,W,0,0,0,0,📊 scan,
43114,schedule_3_enabled,Schedule 3 enabled,uint,-,-,0,0,0,0,📊 scan,
43115,schedule_4_days,Schedule 4 days (bitmask),bit,-,-,0,0,0,0,📊 scan,
43116,schedule_4_start,Schedule 4 start (HHMM),uint,-,min,0,0,0,0,📊 scan,
43117,schedule_4_end,Schedule 4 end (HHMM),uint,-,min,0,0,0,0,📊 scan,
43118,schedule_4_mode,Schedule 4 mode,int16,-,W,0,0,0,0,📊 scan,
43119,schedule_4_enabled,Schedule 4 enabled,uint,-,-,0,0,0,0,📊 scan,
43120,schedule_5_days,Schedule 5 days (bitmask),bit,-,-,0,0,0,0,📊 scan,
43121,schedule_5_start,Schedule 5 start (HHMM),uint,-,min,0,0,0,0,📊 scan,
43122,schedule_5_end,Schedule 5 end (HHMM),uint,-,min,0,0,0,0,📊 scan,
43123,schedule_5_mode,Schedule 5 mode,int16,-,W,0,0,0,0,📊 scan,
43124,schedule_5_enabled,Schedule 5 enabled,uint,-,-,0,0,0,0,📊 scan,
43125,schedule_6_days,Schedule 6 days (bitmask),bit,-,-,0,0,0,0,📊 scan,
43126,schedule_6_start,Schedule 6 start (HHMM),uint,-,min,0,0,0,0,📊 scan,
43127,schedule_6_end,Schedule 6 end (HHMM),uint,-,min,0,0,0,0,📊 scan,
43128,schedule_6_mode,Schedule 6 mode,int16,-,W,0,0,0,0,📊 scan,
43129,schedule_6_enabled,Schedule 6 enabled,uint,-,-,0,0,0,0,📊 scan,
44002,max_charge_power,Max charge power,uint16,-,W,0,0,0,0,📊 scan,Device max 2500W
44003,max_discharge_power,Max discharge power,uint16,-,W,0,0,0,0,📊 scan,Device max 2200W
