Register,Key,Description,Type,Scale,Unit,scan1_newFW_idle_14pct,scan2_oldFW_standby_95pct,scan3_oldFW_discharge_500W,scan4_charge,scan5_6pack_charge2kW_peaktemp,Confidence,Notes
34314,pack4_cell_ntc_3,Pack 4 Cell NTC 3,uint16,0.1,°C,0,215,215,221,328,✅ confirmed,
34315,pack4_mos_ntc,Pack 4 MOS NTC,uint16,0.1,°C,0,214,214,218,303,✅ confirmed,
34316,pack4_env_ntc,Pack 4 Environment NTC,uint16,0.1,°C,0,215,216,221,331,✅ confirmed,
34317,pack4_avg_ntc,Pack 4 Average NTC,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34318,pack4_cell_1_voltage,Pack 4 Cell 1 voltage,uint16,0.001,V,0,3328,3328,3376,3309,✅ confirmed,
34319,pack4_cell_2_voltage,Pack 4 Cell 2 voltage,uint16,0.001,V,0,3330,3329,3377,3309,✅ confirmed,
34320,pack4_cell_3_voltage,Pack 4 Cell 3 voltage,uint16,0.001,V,0,3328,3327,3377,3308,✅ confirmed,
34321,pack4_cell_4_voltage,Pack 4 Cell 4 voltage,uint16,0.001,V,0,3329,3329,3377,3309,✅ confirmed,
34322,pack4_cell_5_voltage,Pack 4 Cell 5 voltage,uint16,0.001,V,0,3327,3327,3377,3309,✅ confirmed,
34323,pack4_cell_6_voltage,Pack 4 Cell 6 voltage,uint16,0.001,V,0,3328,3329,3376,3309,✅ confirmed,
34324,pack4_cell_7_voltage,Pack 4 Cell 7 voltage,uint16,0.001,V,0,3328,3328,3376,3308,✅ confirmed,
34325,pack4_cell_8_voltage,Pack 4 Cell 8 voltage,uint16,0.001,V,0,3329,3328,3377,3309,✅ confirmed,
34326,pack4_cell_9_voltage,Pack 4 Cell 9 voltage,uint16,0.001,V,0,3328,3328,3377,3309,✅ confirmed,
34327,pack4_cell_10_voltage,Pack 4 Cell 10 voltage,uint16,0.001,V,0,3329,3329,3377,3309,✅ confirmed,
34328,pack4_cell_11_voltage,Pack 4 Cell 11 voltage,uint16,0.001,V,0,3328,3328,3376,3308,✅ confirmed,
34329,pack4_cell_12_voltage,Pack 4 Cell 12 voltage,uint16,0.001,V,0,3330,3329,3377,3309,✅ confirmed,
34330,pack4_cell_13_voltage,Pack 4 Cell 13 voltage,uint16,0.001,V,0,3329,3329,3375,3308,✅ confirmed,
34331,pack4_cell_14_voltage,Pack 4 Cell 14 voltage,uint16,0.001,V,0,3329,3329,3378,3310,✅ confirmed,
34332,pack4_cell_15_voltage,Pack 4 Cell 15 voltage,uint16,0.001,V,0,3327,3327,3376,3308,✅ confirmed,
34333,pack4_cell_16_voltage,Pack 4 Cell 16 voltage,uint16,0.001,V,0,3331,3330,3375,3308,✅ confirmed,
34400,pack5_bat_volt,Pack 5 Battery voltage,uint16,0.01,V,0,0,0,0,5295,✅ 6-Pack-Test,"54.03-54.27V bei Ladung, identische Struktur wie Pack 1-4"
34401,pack5_bat_curr,Pack 5 Battery current,int16,0.1,A,0,0,0,0,0,✅ 6-Pack-Test,37.5A Ladestrom bei aktiver Ladung
34402,pack5_bat_soc,Pack 5 SOC,uint16,0.1,%,0,0,0,0,601,✅ 6-Pack-Test,51.3→59.6% während Laden; Scale 0.1 bestätigt
34403,pack5_cycle_count,Pack 5 Cycle count,uint16,1,-,0,0,0,0,49,✅ 6-Pack-Test,49 Zyklen
34404,pack5_charge_status,Pack 5 Ladestatus,uint16,1,-,0,0,0,0,0,✅ 6-Pack-Test,"3=aktiv laden, 0=idle — wie Pack 1-4"
34405,pack5_cell_v_max,Pack 5 Max cell voltage,uint16,0.001,V,0,0,0,0,3311,⬆ pack-pattern,
34406,pack5_cell_v_min,Pack 5 Min cell voltage,uint16,0.001,V,0,0,0,0,3309,⬆ pack-pattern,
34407,pack5_max_ntc,Pack 5 Max NTC temp,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34408,pack5_protect1,Pack 5 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern,
34409,pack5_protect2,Pack 5 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern,
34410,pack5_bms_version,Pack 5 BMS version,uint16,1,-,0,0,0,0,116,✅ 6-Pack-Test,116 — gleiche BMS-Version wie Pack 1-4
34411,pack5_cell_ntc_0,Pack 5 Cell NTC 0,uint16,0.1,°C,0,0,0,0,373,⬆ pack-pattern,
34412,pack5_cell_ntc_1,Pack 5 Cell NTC 1,uint16,0.1,°C,0,0,0,0,345,⬆ pack-pattern,
34413,pack5_cell_ntc_2,Pack 5 Cell NTC 2,uint16,0.1,°C,0,0,0,0,300,⬆ pack-pattern,
34414,pack5_cell_ntc_3,Pack 5 Cell NTC 3,uint16,0.1,°C,0,0,0,0,299,⬆ pack-pattern,
34415,pack5_mos_ntc,Pack 5 MOS NTC,uint16,0.1,°C,0,0,0,0,301,⬆ pack-pattern,
34416,pack5_env_ntc,Pack 5 Environment NTC,uint16,0.1,°C,0,0,0,0,298,⬆ pack-pattern,
34417,pack5_avg_ntc,Pack 5 Average NTC,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34418,pack5_cell_1_voltage,Pack 5 Cell 1 voltage,uint16,0.001,V,0,0,0,0,3310,⬆ pack-pattern,
34419,pack5_cell_2_voltage,Pack 5 Cell 2 voltage,uint16,0.001,V,0,0,0,0,3309,⬆ pack-pattern,
34420,pack5_cell_3_voltage,Pack 5 Cell 3 voltage,uint16,0.001,V,0,0,0,0,3309,⬆ pack-pattern,
34421,pack5_cell_4_voltage,Pack 5 Cell 4 voltage,uint16,0.001,V,0,0,0,0,3311,⬆ pack-pattern,
34422,pack5_cell_5_voltage,Pack 5 Cell 5 voltage,uint16,0.001,V,0,0,0,0,3309,⬆ pack-pattern,
34423,pack5_cell_6_voltage,Pack 5 Cell 6 voltage,uint16,0.001,V,0,0,0,0,3310,⬆ pack-pattern,
34424,pack5_cell_7_voltage,Pack 5 Cell 7 voltage,uint16,0.001,V,0,0,0,0,3311,⬆ pack-pattern,
34425,pack5_cell_8_voltage,Pack 5 Cell 8 voltage,uint16,0.001,V,0,0,0,0,3310,⬆ pack-pattern,
34426,pack5_cell_9_voltage,Pack 5 Cell 9 voltage,uint16,0.001,V,0,0,0,0,3309,⬆ pack-pattern,
34427,pack5_cell_10_voltage,Pack 5 Cell 10 voltage,uint16,0.001,V,0,0,0,0,3310,⬆ pack-pattern,
34428,pack5_cell_11_voltage,Pack 5 Cell 11 voltage,uint16,0.001,V,0,0,0,0,3310,⬆ pack-pattern,
34429,pack5_cell_12_voltage,Pack 5 Cell 12 voltage,uint16,0.001,V,0,0,0,0,3311,⬆ pack-pattern,
34430,pack5_cell_13_voltage,Pack 5 Cell 13 voltage,uint16,0.001,V,0,0,0,0,3309,⬆ pack-pattern,
34431,pack5_cell_14_voltage,Pack 5 Cell 14 voltage,uint16,0.001,V,0,0,0,0,3310,⬆ pack-pattern,
34432,pack5_cell_15_voltage,Pack 5 Cell 15 voltage,uint16,0.001,V,0,0,0,0,3309,⬆ pack-pattern,
34433,pack5_cell_16_voltage,Pack 5 Cell 16 voltage,uint16,0.001,V,0,0,0,0,3309,⬆ pack-pattern,
34500,pack6_bat_volt,Pack 6 Battery voltage,uint16,0.01,V,0,0,0,0,5323,⬆ pack-pattern,
34501,pack6_bat_curr,Pack 6 Battery current,int16,0.1,A,0,0,0,0,0,⬆ pack-pattern,
34502,pack6_bat_soc,Pack 6 SOC,uint16,0.1,%,0,0,0,0,601,⬆ pack-pattern,
34503,pack6_cycle_count,Pack 6 Cycle count,uint16,1,-,0,0,0,0,45,⬆ pack-pattern,
34504,pack6_max_cell_v,Pack 6 Max cell voltage delta?,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34505,pack6_cell_v_max,Pack 6 Max cell voltage,uint16,0.001,V,0,0,0,0,3328,⬆ pack-pattern,
34506,pack6_cell_v_min,Pack 6 Min cell voltage,uint16,0.001,V,0,0,0,0,3326,⬆ pack-pattern,
34507,pack6_max_ntc,Pack 6 Max NTC temp,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34508,pack6_protect1,Pack 6 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern,
34509,pack6_protect2,Pack 6 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern,
34510,pack6_bms_version,Pack 6 BMS version,uint16,1,-,0,0,0,0,116,⬆ pack-pattern,
34511,pack6_cell_ntc_0,Pack 6 Cell NTC 0,uint16,0.1,°C,0,0,0,0,345,⬆ pack-pattern,
34512,pack6_cell_ntc_1,Pack 6 Cell NTC 1,uint16,0.1,°C,0,0,0,0,347,⬆ pack-pattern,
34513,pack6_cell_ntc_2,Pack 6 Cell NTC 2,uint16,0.1,°C,0,0,0,0,289,⬆ pack-pattern,
34514,pack6_cell_ntc_3,Pack 6 Cell NTC 3,uint16,0.1,°C,0,0,0,0,309,⬆ pack-pattern,
34515,pack6_mos_ntc,Pack 6 MOS NTC,uint16,0.1,°C,0,0,0,0,286,⬆ pack-pattern,
34516,pack6_env_ntc,Pack 6 Environment NTC,uint16,0.1,°C,0,0,0,0,305,⬆ pack-pattern,
34517,pack6_avg_ntc,Pack 6 Average NTC,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34518,pack6_cell_1_voltage,Pack 6 Cell 1 voltage,uint16,0.001,V,0,0,0,0,3328,⬆ pack-pattern,
34519,pack6_cell_2_voltage,Pack 6 Cell 2 voltage,uint16,0.001,V,0,0,0,0,3327,⬆ pack-pattern,
34520,pack6_cell_3_voltage,Pack 6 Cell 3 voltage,uint16,0.001,V,0,0,0,0,3326,⬆ pack-pattern,
34521,pack6_cell_4_voltage,Pack 6 Cell 4 voltage,uint16,0.001,V,0,0,0,0,3328,⬆ pack-pattern,
34522,pack6_cell_5_voltage,Pack 6 Cell 5 voltage,uint16,0.001,V,0,0,0,0,3326,⬆ pack-pattern,
34523,pack6_cell_6_voltage,Pack 6 Cell 6 voltage,uint16,0.001,V,0,0,0,0,3326,⬆ pack-pattern,
34524,pack6_cell_7_voltage,Pack 6 Cell 7 voltage,uint16,0.001,V,0,0,0,0,3327,⬆ pack-pattern,
34525,pack6_cell_8_voltage,Pack 6 Cell 8 voltage,uint16,0.001,V,0,0,0,0,3327,⬆ pack-pattern,
34526,pack6_cell_9_voltage,Pack 6 Cell 9 voltage,uint16,0.001,V,0,0,0,0,3327,⬆ pack-pattern,
34527,pack6_cell_10_voltage,Pack 6 Cell 10 voltage,uint16,0.001,V,0,0,0,0,3326,⬆ pack-pattern,
34528,pack6_cell_11_voltage,Pack 6 Cell 11 voltage,uint16,0.001,V,0,0,0,0,3327,⬆ pack-pattern,
34529,pack6_cell_12_voltage,Pack 6 Cell 12 voltage,uint16,0.001,V,0,0,0,0,3327,⬆ pack-pattern,
34530,pack6_cell_13_voltage,Pack 6 Cell 13 voltage,uint16,0.001,V,0,0,0,0,3327,⬆ pack-pattern,
34531,pack6_cell_14_voltage,Pack 6 Cell 14 voltage,uint16,0.001,V,0,0,0,0,3328,⬆ pack-pattern,
34532,pack6_cell_15_voltage,Pack 6 Cell 15 voltage,uint16,0.001,V,0,0,0,0,3327,⬆ pack-pattern,
34533,pack6_cell_16_voltage,Pack 6 Cell 16 voltage,uint16,0.001,V,0,0,0,0,3328,⬆ pack-pattern,
34600,pack7_bat_volt,Pack 7 Battery voltage,uint16,0.01,V,0,0,0,0,0,⬆ pack-pattern,
34601,pack7_bat_curr,Pack 7 Battery current,int16,0.1,A,0,0,0,0,0,⬆ pack-pattern,
34602,pack7_bat_soc,Pack 7 SOC,uint16,0.1,%,0,0,0,0,0,⬆ pack-pattern,
34603,pack7_cycle_count,Pack 7 Cycle count,uint16,1,-,0,0,0,0,0,⬆ pack-pattern,
34604,pack7_max_cell_v,Pack 7 Max cell voltage delta?,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34605,pack7_cell_v_max,Pack 7 Max cell voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34606,pack7_cell_v_min,Pack 7 Min cell voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34607,pack7_max_ntc,Pack 7 Max NTC temp,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34608,pack7_protect1,Pack 7 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern,
34609,pack7_protect2,Pack 7 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern,
34610,pack7_bms_version,Pack 7 BMS version,uint16,1,-,0,0,0,0,0,⬆ pack-pattern,
34611,pack7_cell_ntc_0,Pack 7 Cell NTC 0,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34612,pack7_cell_ntc_1,Pack 7 Cell NTC 1,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34613,pack7_cell_ntc_2,Pack 7 Cell NTC 2,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34614,pack7_cell_ntc_3,Pack 7 Cell NTC 3,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34615,pack7_mos_ntc,Pack 7 MOS NTC,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34616,pack7_env_ntc,Pack 7 Environment NTC,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34617,pack7_avg_ntc,Pack 7 Average NTC,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34618,pack7_cell_1_voltage,Pack 7 Cell 1 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34619,pack7_cell_2_voltage,Pack 7 Cell 2 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34620,pack7_cell_3_voltage,Pack 7 Cell 3 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34621,pack7_cell_4_voltage,Pack 7 Cell 4 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34622,pack7_cell_5_voltage,Pack 7 Cell 5 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34623,pack7_cell_6_voltage,Pack 7 Cell 6 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34624,pack7_cell_7_voltage,Pack 7 Cell 7 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34625,pack7_cell_8_voltage,Pack 7 Cell 8 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34626,pack7_cell_9_voltage,Pack 7 Cell 9 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34627,pack7_cell_10_voltage,Pack 7 Cell 10 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34628,pack7_cell_11_voltage,Pack 7 Cell 11 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34629,pack7_cell_12_voltage,Pack 7 Cell 12 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34630,pack7_cell_13_voltage,Pack 7 Cell 13 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34631,pack7_cell_14_voltage,Pack 7 Cell 14 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34632,pack7_cell_15_voltage,Pack 7 Cell 15 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
34633,pack7_cell_16_voltage,Pack 7 Cell 16 voltage,uint16,0.001,V,0,0,0,0,0,⬆ pack-pattern,
35000,internal_temperature,Inverter-Innentemperatur,int16,0.1,°C,179,241,272,326,513,✅ FW-verified + 6-Pack-Test,"Inverter-Board Temperatur. Langzeit: 50°C→54°C (steigend bei 2kW), fällt mit Leistung. Spiegel: 30002"
35001,internal_mos1_temperature,MOS1-Temperatur (Leistungstransistor),int16,0.1,°C,180,243,279,335,542,✅ FW-verified + 6-Pack-Test,Peak 54.2°C bei 2kW Dauerlast (~17min). ~2°C über 35000. Identisch mit 35002 in allen Scans. Spiegel: 30003
35002,internal_mos2_temperature,MOS2-Temperatur (Leistungstransistor),int16,0.1,°C,180,243,279,335,542,✅ FW-verified + 6-Pack-Test,Immer identisch mit 35001 — vermutlich gleicher Sensor oder gemittelt. Hauptquelle der fühlbaren Gehäusewärme
35010,max_cell_temperature,Max cell temperature,int16,0.1,°C,198,229,232,276,331,✅ FW-verified,
35011,pack1_env_ntc_mirror,Pack 1 Umgebungstemperatur (Spiegel 34016),uint16,0.1,°C,190,228,230,266,298,🔍 Vermutung,Langzeit: exakt identisch mit 34016 (pack1_env_ntc)
35100,inverter_state,Inverter state,uint16,1,-,1,1,3,2,2,✅ confirmed,"0=Shutdown, 1=Idle/Standby, 2=Charging (auch EMS-Zwangsladung unter DOD), 3=Discharging, 4=Inselbetrieb (Backup aus Batterie ohne Grid), 6=Backup-Passthrough (Grid→Backup, DOD erreicht). Unter DOD: Backup nicht aktivierbar (bleibt 1); bei AC-Reconnect automatische Zwangsladung (→2) durch EMS ohne force_mode"
35110,max_charge_power,Max Ladeleistung (Referenzwert?),uint16,1,-,576,576,576,576,576,🔍 Vermutung,Konstant 576; evtl. max. erlaubte Ladeleistung oder Systemparameter
35111,power_level,Leistungsstufe (Laden+Entladen),uint16,1,-,500,100,500,500,500,🔍 Vermutung,"Nicht nur Laden! Auch beim Entladen aktiv: 500=Vollast, 250=mittel, 100=niedrig. Laden: CC-CV Stufen (SOC 90%/95%/100%). Entladen: wechselt bei Pack-Rotation und Leistungsstufen"
35112,max_discharge_power,Max Entladeleistung (Referenzwert?),uint16,1,-,500,500,500,500,500,🔍 Vermutung,Konstant 500; zusammen mit 35110/35111 evtl. Leistungs-Konfigurationsblock
36000,alarm_status,Alarm status (high),uint32,-,-,0,0,0,0,0,✅ FW-verified,uint32 with 36001
36001,alarm_status_lo,Alarm status (low),uint32,-,-,0,0,0,0,0,✅ FW-verified,
36100,fault_status,Fault status (high),uint64,bitmask,-,0,0,0,0,0,✅ FW-verified,uint64 36100-36103; Bit4(0x0010)=BMS offline/Batterie getrennt (Battery-Disconnect-Test bestätigt)
36101,fault_status_2,Fault status word 2,uint16,bitmask,-,0,0,0,0,0,🔍 Vermutung,Bit7(0x80)=AC/Grid disconnect; taucht exakt bei AC-Trennung auf (Power-Cycle-Test bestätigt)
36102,,,,,,0,0,0,0,0,❓ unknown,
36103,fault_status_lo,Fault status (low word),uint64,-,-,2403,2385,2405,0,0,✅ FW-verified,Changes: 2403/2385/2405; might include counter
37000,system_online,System online Flag?,uint16,1,-,1,1,1,1,1,🔍 Vermutung,Konstant 1; evtl. System-aktiv-Flag
37001,,,,,,0,0,0,0,0,❓ unknown,
37002,,,,,,0,0,0,0,0,❓ unknown,
37003,,,,,,0,0,0,0,0,❓ unknown,
37004,ac_power_target,AC Netzleistung SOLL/Regelwert (int16),int16,1,W,0,0,500,63364,63364,✅ confirmed,Wie 30006 aber reagiert ~1 Scan schneller bei Setpoint-Wechsel. Vermutlich Soll-/Regelgröße statt Messwert
37005,system_soc_integer,System SOC (integer),uint16,1,%,14,95,94,50,61,✅ confirmed,95/94/14; integer SOC without 0.1 scale
37006,max_cell_temp_mirror,Max cell temp (mirror of 35010),uint16,0.1,°C,192,230,232,276,304,📊 multi-scan,Matches 35010 within 2
37007,max_cell_voltage,Max cell voltage,uint16,0.001,V,3198,3328,3327,3308,3395,✅ FW-verified,
37008,min_cell_voltage,Min cell voltage,uint16,0.001,V,3195,3325,3325,3306,3390,✅ FW-verified,
37009,,,,,,0,0,0,0,0,❓ unknown,
37010,,,,,,0,0,0,0,0,❓ unknown,
37011,,,,,,0,0,0,0,0,❓ unknown,
37012,bms_version_mirror,BMS Version (Spiegel 30204),uint16,1,-,116,116,116,116,116,🔍 Vermutung,Konstant 116 = identisch mit bms_version (30204)
37013,fault_status_mirror,Fault-Status Spiegel (=36100),uint16,bitmask,-,0,0,0,0,0,🔍 Vermutung,Battery-Disconnect: =16(0x0010) exakt wie 36100 bei BMS offline. Spiegel im 37xxx-Block
37014,fault_status_2_mirror,Fault-Status-2 Spiegel (=36101),uint16,bitmask,-,0,0,0,0,0,🔍 Vermutung,Power-Cycle-Test: =128(0x80) exakt wie 36101 bei AC-Disconnect. Spiegel im 37xxx-Block
37015,,,,,,0,0,0,0,0,❓ unknown,
37016,offgrid_ac_voltage,Offgrid AC Spannung?,uint16,0.1,V,2416,2393,2401,0,0,🔍 Vermutung,"Werte ≈ ac_voltage bei Standby/Entladung, =0 bei Netzbezug (Laden). Evtl. nur bei Einspeisebetrieb aktiv"
37017,,,,,,0,0,0,0,0,❓ unknown,
37018,,,,,,0,0,0,0,0,❓ unknown,
37019,,,,,,0,0,0,0,0,❓ unknown,
37020,,,,,,0,0,0,0,0,❓ unknown,
37021,,,,,,0,0,0,0,0,❓ unknown,
37022,offgrid_dc_voltage,Offgrid DC Bus Spannung?,uint16,0.1,V,513,534,527,0,0,🔍 Vermutung,"Werte ≈ dc_bus_voltage bei Standby/Entladung, =0 bei Netzbezug (Laden). Analog zu 37016"
37023,,,,,,0,0,0,0,0,❓ unknown,
37024,,,,,,0,0,0,0,0,❓ unknown,Power-Cycle-Test: einmaliger Spike 1345 kurz vor Batterie-Reconnect. Evtl. BMS-Handshake/Init
41000,reset_device,Reset device command,uint16,-,-,0,0,0,0,0,📊 scan,Write to trigger reset
41100,modbus_address,Modbus slave/unit ID,uint16,-,-,1,1,1,1,1,📊 scan,
41200,backup_function,Backup function control,uint16,-,-,1,1,1,1,1,📊 scan,1=enabled
42000,rs485_control_mode,RS485 control mode,uint16,-,-,21930,21947,21930,21930,21947,✅ confirmed,"0x55AA=active write control, 0x55BB=idle readback after activation"
42010,force_mode,Force mode,uint16,-,-,0,0,2,1,0,📊 scan,"0=None, 1=Charge, 2=Discharge (confirmed with all scans). EMS-Zwangsladung unter DOD setzt force_mode NICHT — bleibt 0; EMS steuert Ladung intern"
42011,charge_to_soc,Target SOC,uint16,1,%,0,0,0,0,0,📊 scan,
42020,set_charge_power,Force charge power,uint16,-,W,0,0,0,2200,0,📊 scan,2200 during 2200W charge test; charge power setpoint
42021,set_discharge_power,Force discharge power / Inverter-Limit,uint16,1,W,0,0,500,0,0,✅ Backup-Test,"500 bei 500W Entladung. Backup-Test: konstant 2200 = maximale Inverter-AC-Ausgangsleistung. Bei EMS-Zwangsladung unter DOD: 0 (nicht gesetzt, EMS steuert intern)"
43000,user_work_mode,User work mode,uint16,-,-,1,0,1,1,0,📊 scan,"0=manual/self-consumption, 1=anti-feedin, 2=trade. Discharge-Steps: wechselt 1→0 wenn Zeitplan aktiv"
43100,schedule_1_days,Schedule 1 Wochentage (Bitmask),uint16,bitmask,-,0,0,0,0,127,✅ Discharge-Steps,127(0x7F)=alle 7 Tage; Bitmask Mo-So
43101,schedule_1_start,Schedule 1 start (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43102,schedule_1_end,Schedule 1 Endzeit (HHMM),uint16,-,-,0,0,0,0,2359,✅ Discharge-Steps,2359=23:59; Format HHMM als Integer
43103,schedule_1_power,Schedule 1 Entlade-Setpoint,uint16,1,W,0,0,0,0,63336,✅ Discharge-Steps,Zielleistung aus App-Zeitplan. Discharge-Steps: 100→150→...→2200W in 50/100W Schritten
43104,schedule_1_active,Schedule 1 Entladung aktiv,uint16,-,-,0,0,0,0,1,✅ Discharge-Steps,"0=inaktiv, 1=Entladung läuft. Wird 1 sobald Zeitplan greift"
43105,schedule_2_days,Schedule 2 days (bitmask),bit,-,-,0,0,0,0,0,📊 scan,
43106,schedule_2_start,Schedule 2 start (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43107,schedule_2_end,Schedule 2 end (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43108,schedule_2_mode,Schedule 2 mode,int16,-,W,0,0,0,0,0,📊 scan,
43109,schedule_2_enabled,Schedule 2 enabled,uint,-,-,0,0,0,0,0,📊 scan,
43110,schedule_3_days,Schedule 3 days (bitmask),bit,-,-,0,0,0,0,0,📊 scan,
43111,schedule_3_start,Schedule 3 start (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43112,schedule_3_end,Schedule 3 end (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43113,schedule_3_mode,Schedule 3 mode,int16,-,W,0,0,0,0,0,📊 scan,
43114,schedule_3_enabled,Schedule 3 enabled,uint,-,-,0,0,0,0,0,📊 scan,
43115,schedule_4_days,Schedule 4 days (bitmask),bit,-,-,0,0,0,0,0,📊 scan,
43116,schedule_4_start,Schedule 4 start (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43117,schedule_4_end,Schedule 4 end (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43118,schedule_4_mode,Schedule 4 mode,int16,-,W,0,0,0,0,0,📊 scan,
43119,schedule_4_enabled,Schedule 4 enabled,uint,-,-,0,0,0,0,0,📊 scan,
43120,schedule_5_days,Schedule 5 days (bitmask),bit,-,-,0,0,0,0,0,📊 scan,
43121,schedule_5_start,Schedule 5 start (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43122,schedule_5_end,Schedule 5 end (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43123,schedule_5_mode,Schedule 5 mode,int16,-,W,0,0,0,0,0,📊 scan,
43124,schedule_5_enabled,Schedule 5 enabled,uint,-,-,0,0,0,0,0,📊 scan,
43125,schedule_6_days,Schedule 6 days (bitmask),bit,-,-,0,0,0,0,0,📊 scan,
43126,schedule_6_start,Schedule 6 start (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43127,schedule_6_end,Schedule 6 end (HHMM),uint,-,min,0,0,0,0,0,📊 scan,
43128,schedule_6_mode,Schedule 6 mode,int16,-,W,0,0,0,0,0,📊 scan,
43129,schedule_6_enabled,Schedule 6 enabled,uint,-,-,0,0,0,0,0,📊 scan,
44002,max_charge_power,Max charge power,uint16,-,W,0,0,0,0,0,📊 scan,Device max 2500W
44003,max_discharge_power,Max discharge power,uint16,-,W,0,0,0,0,0,📊 scan,Device max 2200W
